Starting masscan 1.3.2 (http://bit.ly/14GZzcT) at 2024-11-27 09:47:23 GMT
Initiating SYN Stealth Scan
Scanning 1048576 hosts [1 port/host]
rate:  0.01-kpps,  0.00% done,248818933:15:15 remaining, found=0       
rate:  9.96-kpps,  0.70% done,   0:14:15 remaining, found=92       
rate:  9.99-kpps,  1.40% done,   0:07:03 remaining, found=189       
rate:  9.92-kpps,  2.07% done,   0:04:44 remaining, found=319       
rate:  9.99-kpps,  2.71% done,   0:03:36 remaining, found=404       
rate:  9.95-kpps,  3.48% done,   0:02:46 remaining, found=458       
rate:  9.96-kpps,  4.10% done,   0:02:20 remaining, found=574       
rate:  9.93-kpps,  4.86% done,   0:01:57 remaining, found=658       
rate:  9.98-kpps,  5.58% done,   0:01:41 remaining, found=759       
rate:  9.97-kpps,  6.19% done,   0:01:42 remaining, found=843       
rate:  9.93-kpps,  6.95% done,   0:01:40 remaining, found=937       
rate:  9.92-kpps,  7.59% done,   0:01:40 remaining, found=1044       
rate:  9.89-kpps,  8.33% done,   0:01:38 remaining, found=1135       
rate:  9.88-kpps,  9.06% done,   0:01:38 remaining, found=1239       
rate:  9.85-kpps,  9.71% done,   0:01:37 remaining, found=1302       
rate:  9.88-kpps, 10.44% done,   0:01:36 remaining, found=1375       
rate:  9.84-kpps, 11.13% done,   0:01:36 remaining, found=1447       
rate:  9.88-kpps, 11.80% done,   0:01:34 remaining, found=1544       
rate:  9.89-kpps, 12.53% done,   0:01:34 remaining, found=1641       
rate:  9.92-kpps, 13.18% done,   0:01:33 remaining, found=1725       
rate:  9.88-kpps, 13.90% done,   0:01:33 remaining, found=1837       
rate:  9.91-kpps, 14.54% done,   0:01:33 remaining, found=1937       
rate:  9.85-kpps, 15.30% done,   0:01:31 remaining, found=2047       
rate:  9.88-kpps, 15.97% done,   0:01:31 remaining, found=2105       
rate:  9.90-kpps, 16.65% done,   0:01:31 remaining, found=2195       
rate:  9.88-kpps, 17.37% done,   0:01:29 remaining, found=2270       
rate:  9.88-kpps, 18.03% done,   0:01:29 remaining, found=2394       
rate:  9.86-kpps, 18.72% done,   0:01:28 remaining, found=2515       
rate:  9.87-kpps, 19.44% done,   0:01:27 remaining, found=2583       
rate:  9.80-kpps, 20.07% done,   0:01:27 remaining, found=2660       
rate:  9.94-kpps, 20.63% done,   0:01:29 remaining, found=2716       
rate:  9.90-kpps, 21.37% done,   0:01:27 remaining, found=2800       
rate:  9.88-kpps, 22.07% done,   0:01:26 remaining, found=2866       
rate:  9.88-kpps, 22.76% done,   0:01:26 remaining, found=2964       
rate:  9.85-kpps, 23.43% done,   0:01:25 remaining, found=3057       
rate:  9.88-kpps, 24.13% done,   0:01:24 remaining, found=3138       
rate:  9.84-kpps, 24.85% done,   0:01:23 remaining, found=3258       
rate:  9.86-kpps, 25.52% done,   0:01:22 remaining, found=3348       
rate:  9.90-kpps, 26.23% done,   0:01:19 remaining, found=3473       
rate:  9.89-kpps, 26.91% done,   0:01:19 remaining, found=3550       
rate:  9.86-kpps, 27.58% done,   0:01:19 remaining, found=3637       
rate:  9.86-kpps, 28.27% done,   0:01:18 remaining, found=3697       
rate:  9.88-kpps, 28.99% done,   0:01:16 remaining, found=3736       
rate:  9.86-kpps, 29.74% done,   0:01:15 remaining, found=3774       
rate:  9.93-kpps, 30.47% done,   0:01:14 remaining, found=3819       
rate:  9.89-kpps, 31.17% done,   0:01:13 remaining, found=3872       
rate:  9.91-kpps, 31.76% done,   0:01:14 remaining, found=3917       
rate:  9.87-kpps, 32.30% done,   0:01:15 remaining, found=3991       
rate:  9.89-kpps, 32.98% done,   0:01:14 remaining, found=4048       
rate:  9.89-kpps, 33.65% done,   0:01:14 remaining, found=4109       
rate:  9.88-kpps, 34.34% done,   0:01:14 remaining, found=4157       
rate:  9.88-kpps, 35.03% done,   0:01:13 remaining, found=4215       
rate:  9.94-kpps, 35.71% done,   0:01:13 remaining, found=4299       
rate:  9.85-kpps, 36.43% done,   0:01:12 remaining, found=4369       
rate:  9.98-kpps, 37.10% done,   0:01:10 remaining, found=4427       
rate:  9.83-kpps, 37.79% done,   0:01:08 remaining, found=4474       
rate:  9.87-kpps, 38.55% done,   0:01:06 remaining, found=4518       
rate:  9.90-kpps, 39.24% done,   0:01:05 remaining, found=4576       
rate:  9.87-kpps, 39.92% done,   0:01:04 remaining, found=4645       
rate:  9.84-kpps, 40.69% done,   0:01:03 remaining, found=4695       
rate:  9.90-kpps, 41.34% done,   0:01:02 remaining, found=4758       
rate:  9.85-kpps, 41.99% done,   0:01:02 remaining, found=4807       
rate:  9.89-kpps, 42.77% done,   0:01:00 remaining, found=4837       
rate:  9.90-kpps, 43.42% done,   0:01:00 remaining, found=4899       
rate:  9.87-kpps, 44.00% done,   0:01:01 remaining, found=4941       
rate:  9.88-kpps, 44.64% done,   0:01:01 remaining, found=4998       
rate:  9.92-kpps, 45.29% done,   0:01:01 remaining, found=5047       
rate:  9.87-kpps, 46.05% done,   0:01:00 remaining, found=5104       
rate:  9.92-kpps, 46.74% done,   0:00:59 remaining, found=5142       
rate:  9.89-kpps, 47.43% done,   0:00:58 remaining, found=5189       
rate:  9.84-kpps, 48.18% done,   0:00:57 remaining, found=5246       
rate:  9.90-kpps, 48.86% done,   0:00:56 remaining, found=5302       
rate:  9.91-kpps, 49.56% done,   0:00:54 remaining, found=5351       
rate:  9.94-kpps, 50.33% done,   0:00:52 remaining, found=5392       
rate:  9.91-kpps, 50.98% done,   0:00:52 remaining, found=5461       
rate:  9.87-kpps, 51.71% done,   0:00:51 remaining, found=5513       
rate:  9.94-kpps, 52.37% done,   0:00:51 remaining, found=5560       
rate:  9.94-kpps, 53.18% done,   0:00:49 remaining, found=5613       
rate:  9.89-kpps, 53.83% done,   0:00:49 remaining, found=5657       
rate:  9.90-kpps, 54.51% done,   0:00:48 remaining, found=5709       
rate:  9.88-kpps, 55.11% done,   0:00:48 remaining, found=5835       
rate:  9.85-kpps, 55.54% done,   0:00:51 remaining, found=5942       
rate:  9.88-kpps, 56.15% done,   0:00:51 remaining, found=5993       
rate:  9.92-kpps, 56.84% done,   0:00:50 remaining, found=6073       
rate:  9.91-kpps, 57.45% done,   0:00:50 remaining, found=6174       
rate:  9.89-kpps, 58.20% done,   0:00:50 remaining, found=6258       
rate:  9.94-kpps, 58.85% done,   0:00:49 remaining, found=6327       
rate:  9.95-kpps, 59.61% done,   0:00:47 remaining, found=6399       
