Starting masscan 1.3.2 (http://bit.ly/14GZzcT) at 2024-12-04 06:38:15 GMT
Initiating SYN Stealth Scan
Scanning 256 hosts [1 port/host]
rate:  0.10-kpps,  3.91% done,3905:36:32 remaining, found=0       
rate:  0.10-kpps, 28.52% done,   0:00:17 remaining, found=4       
rate:  0.10-kpps, 53.91% done,   0:00:05 remaining, found=10       
rate:  0.10-kpps, 79.30% done,   0:00:01 remaining, found=16       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 10-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 10-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 10-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 10-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 9-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 9-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 9-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 9-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 8-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 8-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 8-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 8-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 7-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 7-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 7-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 7-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 6-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 6-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 6-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 6-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 5-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 5-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 5-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 5-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 4-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 4-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 4-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 4-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 3-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 3-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 3-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 3-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 2-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 2-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 2-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 2-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 1-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 1-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 1-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 1-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=19       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=19       
                                                                             
